"date","btc_price","btc_market_cap","btc_volume","gold_price"
2021-05-05,53464.3702195037,999775008412.374,71296763919.1327,1782.25
2021-05-06,57432.1002270876,1070969079353.53,72158368257.5471,1813.15
2021-05-07,56507.7594398696,1056801053574.51,87510802710.7763,1836.55
2021-05-10,58213.9262937444,1088903483393.31,67906284080.6139,1840.45
2021-05-11,55901.6675945614,1045714370754.16,76672978747.6904,1829.1
2021-05-12,56928.9723566016,1064993057463.89,67726708140.5651,1830.7
2021-05-13,50004.7621831369,935512493150.826,75523928654.3404,1821.8
2021-05-14,49972.7953983725,934964766185.964,104203551167.938,1838.1
2021-05-17,46585.0641353885,871695620615.745,70636455913.9602,1853.7
2021-05-18,43780.8255978248,819256623328.731,84054878923.852,1866.75
2021-05-19,43091.0414475692,800545278567.687,65037066859.1167,1888.45
2021-05-20,37287.3914024274,697785056487.605,141151477374.613,1878.3
2021-05-21,40437.7300962556,759679496751.278,95001812130.51,1875.9
2021-05-24,34977.5278019624,654558962027.584,84358034875.5131,1880.15
2021-05-25,38642.4422973396,723143072419.724,71163197727.3351,1887
2021-05-26,38210.8052175939,715248689989.895,48724794157.9851,1899.75
2021-05-27,39406.9342441162,737668726732.383,47026386118.4724,1891.45
2021-05-28,38642.8955543422,723137484747.147,40836817155.7197,1899.95
2021-05-31,35714.7520201807,668664301773.542,30650274657.6953,1899.95
2021-06-01,37340.6792659422,699138611681.297,37950798680.4817,1899.35
2021-06-02,36680.0682018028,688726381047.179,33536905027.7102,1902.75
2021-06-03,37685.7179817483,704531333543.391,31240691604.1993,1866.55
2021-06-04,39151.3161838003,733150718114.455,33396718844.5571,1890.6
2021-06-07,35834.4744744042,671131079523.729,27689283070.8369,1888.4
2021-06-08,33451.3834071453,626527049947.844,33345528753.3402,1893.15
2021-06-09,33557.1506830918,629018966290.401,46727462986.3665,1894.6
2021-06-10,37553.6437585189,705292677171.463,54511387836.115,1888.65
2021-06-11,36903.3049067789,691681868464.472,42952476854.8346,1881.05
2021-06-14,39147.7056788,733402631079.119,38185633278.2872,1865.6
2021-06-15,40624.5130531615,761104314502.287,45836408439.4516,1865.1
2021-06-16,40378.2025497111,756522207420.348,36706248352.2371,1860.75
2021-06-17,38321.4546565742,718016373177.285,36563438889.7854,1778.7
2021-06-18,38193.619141944,715652442155.126,36330237284.4183,1773.1
2021-06-21,35787.0774052323,670634370556.615,35609127163.6224,1775.05
2021-06-22,31711.935467727,598335733135.868,51873870276.5225,1775.05
2021-06-23,32507.7387070268,606580031922.724,57443014757.9247,1791.6
2021-06-24,33702.617793714,631634847766.231,39798236962.4407,1784.85
2021-06-25,34675.4491053034,650340461975.814,31862051544.3499,1786.65
2021-06-28,34607.2932740834,649262127990.376,34335452117.3263,1780.3
2021-06-29,34556.8421269449,647741224116.934,32453802891.0152,1755.45
2021-06-30,35968.9936679703,674231340724.415,35121257875.5466,1763.15
2021-07-01,35171.4863048501,660200427590.478,31024153846.8785,1781.5
2021-07-02,33677.5662359226,629863895571.747,29129630236.1408,1786.15
2021-07-05,35394.2130740809,663571591568.196,22727930417.7488,1791.35
2021-07-06,33928.1342183715,636061920914.828,25894820184.7451,1809.85
2021-07-07,34149.9898147741,640405812761.686,26106856611.9233,1804.65
2021-07-08,33932.2546383154,636246944189.26,23692220470.1351,1807.7
2021-07-09,32933.5781992924,617861633771.989,29065577052.2972,1806
2021-07-12,34299.9380165174,643335853171.135,17798828844.2723,1792.4
2021-07-13,33262.6543524462,623350567666.981,21683885320.6113,1813.85
2021-07-14,32676.3838009602,613002045101.37,19932531699.6246,1823.2
2021-07-15,32878.5018735715,616691143979.958,21779069066.446,1823.75
2021-07-16,31726.0388339098,595342431373.864,21557729227.2843,1824.3
2021-07-19,31919.3939225546,597872278369.111,17742105807.8955,1814.9
2021-07-20,30928.2119088492,580252472382.712,20095540828.2957,1823.05
2021-07-21,29971.9037836121,561743228116.548,23000299061.8963,1802.15
